t	w	alpha
0.237	9.818744241	2.99440209
0.238	9.825569379	3.012081985
0.239	9.832310774	3.029774089
0.24	9.838969454	3.047478254
0.241	9.845546434	3.06519433
0.242	9.852042715	3.082922172
0.243	9.858459288	3.100661636
0.244	9.864797132	3.118412578
0.245	9.871057211	3.136174859
0.246	9.877240481	3.153948338
0.247	9.883347883	3.171732879
0.248	9.889380348	3.189528345
0.249	9.895338797	3.207334603
0.25	9.901224137	3.225151521
0.251	9.907037265	3.242978967
0.252	9.912779067	3.260816812
0.253	9.918450418	3.278664929
0.254	9.924052183	3.296523192
0.255	9.929585216	3.314391476
0.256	9.935050359	3.332269658
0.257	9.940448447	3.350157616
0.258	9.945780301	3.368055232
0.259	9.951046734	3.385962386
0.26	9.956248549	3.403878962
0.261	9.961386539	3.421804843
0.262	9.966461487	3.439739915
0.263	9.971474167	3.457684066
0.264	9.976425342	3.475637185
0.265	9.981315767	3.493599161
0.266	9.986146188	3.511569886
0.267	9.990917341	3.529549252
0.268	9.995629952	3.547537153
0.269	10.00028474	3.565533485
0.27	10.00488242	3.583538144
0.271	10.00942368	3.601551027
0.272	10.01390922	3.619572035
0.273	10.01833973	3.637601068
0.274	10.02271587	3.655638026
0.275	10.02703832	3.673682812
0.276	10.03130774	3.691735332
0.277	10.03552477	3.709795489
0.278	10.03969006	3.72786319
0.279	10.04380424	3.745938342
0.28	10.04786794	3.764020855
0.281	10.05188178	3.782110637
0.282	10.05584637	3.800207599
0.283	10.05976232	3.818311654
0.284	10.06363021	3.836422715
0.285	10.06745065	3.854540695
0.286	10.07122422	3.872665509
0.287	10.07495148	3.890797074
0.288	10.07863301	3.908935307
0.289	10.08226937	3.927080126
0.29	10.08586111	3.94523145
0.291	10.08940879	3.963389199
0.292	10.09291293	3.981553295
0.293	10.09637408	3.99972366
0.294	10.09979276	4.017900216
0.295	10.10316949	4.036082888
0.296	10.10650479	4.054271601
0.297	10.10979917	4.072466281
0.298	10.11305313	4.090666854
0.299	10.11626716	4.108873248
0.3	10.11944176	4.127085392
0.301	10.1225774	4.145303215
0.302	10.12567457	4.163526648
0.303	10.12873374	4.181755621
0.304	10.13175537	4.199990066
0.305	10.13473993	4.218229918
0.306	10.13768787	4.236475108
0.307	10.14059964	4.254725572
0.308	10.14347568	4.272981245
0.309	10.14631644	4.291242064
0.31	10.14912233	4.309507964
0.311	10.15189381	4.327778883
0.312	10.15463127	4.346054761
0.313	10.15733515	4.364335536
0.314	10.16000585	4.382621147
0.315	10.16264378	4.400911537
0.316	10.16524934	4.419206646
0.317	10.16782294	4.437506415
0.318	10.17036496	4.455810789
0.319	10.17287579	4.47411971
0.32	10.17535581	4.492433123
0.321	10.1778054	4.510750973
0.322	10.18022493	4.529073205
0.323	10.18261478	4.547399765
0.324	10.18497531	4.5657306
0.325	10.18730687	4.584065659
0.326	10.18960982	4.602404888
0.327	10.19188452	4.620748237
0.328	10.19413131	4.639095655
0.329	10.19635053	4.657447093
0.33	10.19854252	4.675802501
0.331	10.20070761	4.69416183
0.332	10.20284614	4.712525032
0.333	10.20495843	4.73089206
0.334	10.20704481	4.749262867
0.335	10.20910558	4.767637406
0.336	10.21114107	4.786015632
0.337	10.21315158	4.804397499
