t	alpha1	alpha2	alpha3	alpha4
0.326	4.670910543	4.203578014	3.736245484	2.801580425
0.327	4.690138809	4.220975552	3.751812294	2.813485778
0.328	4.709371005	4.238376708	3.767382411	2.825393817
0.329	4.728607078	4.255781435	3.782955792	2.837304506
0.33	4.747846976	4.273189685	3.798532394	2.849217811
0.331	4.767090649	4.290601411	3.814112173	2.861133696
0.332	4.786338046	4.308016567	3.829695087	2.873052128
0.333	4.805589118	4.325435106	3.845281095	2.884973071
0.334	4.824843815	4.342856985	3.860870154	2.896896493
0.335	4.84410209	4.360282158	3.876462226	2.908822361
0.336	4.863363894	4.377710581	3.892057268	2.920750642
0.337	4.882629181	4.395142212	3.907655242	2.932681304
0.338	4.901897903	4.412577006	3.923256109	2.944614315
0.339	4.921170017	4.430014923	3.93885983	2.956549644
0.34	4.940445475	4.447455921	3.954466367	2.96848726
0.341	4.959724234	4.464899958	3.970075683	2.980427132
0.342	4.979006249	4.482346994	3.98568774	2.992369231
0.343	4.998291477	4.499796989	4.001302502	3.004313526
0.344	5.017579876	4.517249904	4.016919932	3.016259989
0.345	5.036871403	4.5347057	4.032539996	3.02820859
0.346	5.056166016	4.552164337	4.048162659	3.040159301
0.347	5.075463675	4.569625779	4.063787884	3.052112094
0.348	5.094764338	4.587089989	4.07941564	3.064066942
0.349	5.114067965	4.604556928	4.09504589	3.076023816
0.35	5.133374518	4.622026561	4.110678604	3.08798269
0.351	5.152683957	4.639498852	4.126313747	3.099943537
0.352	5.171996243	4.656973765	4.141951287	3.11190633
0.353	5.191311339	4.674451265	4.157591192	3.123871045
0.354	5.210629207	4.691931319	4.173233431	3.135837655
0.355	5.229949811	4.709413892	4.188877973	3.147806135
0.356	5.249273113	4.72689895	4.204524786	3.15977646
0.357	5.268599078	4.74438646	4.220173842	3.171748605
0.358	5.28792767	4.76187639	4.235825109	3.183722547
0.359	5.307258855	4.779368707	4.251478558	3.195698261
0.36	5.326592598	4.796863379	4.26713416	3.207675723
0.361	5.345928864	4.814360376	4.282791887	3.219654911
0.362	5.36526762	4.831859665	4.298451711	3.231635801
0.363	5.384608833	4.849361218	4.314113602	3.243618371
0.364	5.40395247	4.866865002	4.329777534	3.255602598
0.365	5.423298499	4.884370989	4.34544348	3.26758846
0.366	5.442646888	4.90187915	4.361111412	3.279575936
0.367	5.461997605	4.919389455	4.376781304	3.291565003
0.368	5.48135062	4.936901875	4.392453131	3.303555642
0.369	5.500705901	4.954416383	4.408126865	3.315547829
0.37	5.520063419	4.971932951	4.423802483	3.327541546
0.371	5.539423144	4.989451551	4.439479958	3.339536772
0.372	5.558785046	5.006972156	4.455159266	3.351533486
0.373	5.578149096	5.024494739	4.470840383	3.363531669
0.374	5.597515266	5.042019275	4.486523284	3.375531301
0.375	5.616883528	5.059545736	4.502207945	3.387532363
0.376	5.636253853	5.077074098	4.517894344	3.399534836
0.377	5.655626214	5.094604335	4.533582457	3.4115387
0.378	5.675000584	5.112136422	4.549272261	3.423543938
0.379	5.694376936	5.129670335	4.564963734	3.435550531
0.38	5.713755244	5.147206048	4.580656853	3.447558461
0.381	5.733135481	5.164743539	4.596351596	3.459567711
0.382	5.752517623	5.182282782	4.612047942	3.471578262
0.383	5.771901643	5.199823756	4.62774587	3.483590097
0.384	5.791287516	5.217366437	4.643445358	3.4956032
0.385	5.810675218	5.234910802	4.659146385	3.507617553
0.386	5.830064725	5.252456829	4.674848932	3.519633139
0.387	5.849456012	5.270004495	4.690552977	3.531649943
0.388	5.868849056	5.287553779	4.706258501	3.543667947
0.389	5.888243833	5.305104659	4.721965485	3.555687137
0.39	5.90764032	5.322657114	4.737673908	3.567707495
0.391	5.927038494	5.340211123	4.753383751	3.579729007
0.392	5.946438334	5.357766665	4.769094996	3.591751658
0.393	5.965839815	5.375323719	4.784807623	3.603775431
0.394	5.985242918	5.392882267	4.800521615	3.615800313
0.395	6.00464762	5.410442287	4.816236954	3.627826287
0.396	6.0240539	5.42800376	4.83195362	3.639853341
0.397	6.043461736	5.445566667	4.847671597	3.651881459
0.398	6.062871108	5.463130988	4.863390868	3.663910627
0.399	6.082281997	5.480696705	4.879111414	3.675940831
0.4	6.10169438	5.498263799	4.894833219	3.687972057
0.401	6.121108239	5.515832252	4.910556266	3.700004292
0.402	6.140523554	5.533402046	4.926280538	3.712037522
0.403	6.159940305	5.550973162	4.94200602	3.724071735
0.404	6.179358473	5.568545584	4.957732695	3.736106916
0.405	6.19877804	5.586119293	4.973460546	3.748143053
0.406	6.218198986	5.603694273	4.98918956	3.760180134
0.407	6.237621294	5.621270506	5.004919719	3.772218145
0.408	6.257044944	5.638847977	5.020651009	3.784257074
0.409	6.27646992	5.656426668	5.036383415	3.79629691
0.41	6.295896204	5.674006563	5.052116922	3.808337639
0.411	6.315323778	5.691587646	5.067851514	3.820379251
0.412	6.334752625	5.709169902	5.083587179	3.832421733
0.413	6.354182728	5.726753314	5.0993239	3.844465073
0.414	6.37361407	5.744337868	5.115061665	3.856509261
0.415	6.393046635	5.761923547	5.13080046	3.868554284
0.416	6.412480406	5.779510338	5.146540269	3.880600133
0.417	6.431915367	5.797098224	5.162281081	3.892646795
0.418	6.451351504	5.814687193	5.178022882	3.90469426
0.419	6.470788799	5.832277228	5.193765658	3.916742518
0.42	6.490227237	5.849868317	5.209509397	3.928791557
0.421	6.509666804	5.867460445	5.225254086	3.940841367
0.422	6.529107483	5.885053597	5.240999711	3.952891939
0.423	6.548549261	5.902647761	5.256746261	3.964943261
0.424	6.567992123	5.920242923	5.272493724	3.976995324
0.425	6.587436054	5.93783907	5.288242086	3.989048118
0.426	6.606881039	5.955436188	5.303991337	4.001101634
0.427	6.626327066	5.973034265	5.319741463	4.013155861
0.428	6.64577412	5.990633287	5.335492455	4.02521079
0.429	6.665222187	6.008233243	5.351244299	4.037266412
0.43	6.684671253	6.025834119	5.366996985	4.049322717
0.431	6.704121307	6.043435904	5.382750502	4.061379697
0.432	6.723572333	6.061038585	5.398504838	4.073437342
0.433	6.74302432	6.078642151	5.414259982	4.085495644
0.434	6.762477255	6.096246589	5.430015924	4.097554594
0.435	6.781931124	6.113851889	5.445772653	4.109614183
0.436	6.801385916	6.131458038	5.461530159	4.121674402
0.437	6.820841618	6.149065025	5.477288431	4.133735244
0.438	6.840298218	6.166672839	5.493047459	4.145796699
0.439	6.859755705	6.184281469	5.508807233	4.157858761
0.44	6.879214065	6.201890904	5.524567743	4.16992142
0.441	6.898673288	6.219501134	5.540328979	4.181984669
0.442	6.918133363	6.237112147	5.556090931	4.1940485
