t	w1	w2	w3	w4
0.221	9.349111968	8.451408129	7.55370429	5.758296612
0.222	9.357377608	8.459020086	7.560662564	5.763947519
0.223	9.365533075	8.466530583	7.56752809	5.769523105
0.224	9.373579837	8.473940971	7.574302105	5.775024374
0.225	9.381519342	8.481252585	7.580985828	5.780452315
0.226	9.389353021	8.488466742	7.587580464	5.785807906
0.227	9.397082283	8.495584741	7.594087198	5.791092113
0.228	9.404708522	8.502607862	7.600507203	5.796305885
0.229	9.412233109	8.509537372	7.606841636	5.801450162
0.23	9.4196574	8.516374518	7.613091635	5.806525871
0.231	9.426982732	8.52312053	7.619258328	5.811533925
0.232	9.434210423	8.529776624	7.625342825	5.816475226
0.233	9.441341776	8.536343998	7.63134622	5.821350664
0.234	9.448378074	8.542823834	7.637269595	5.826161116
0.235	9.455320584	8.5492173	7.643114017	5.830907449
0.236	9.462170557	8.555525547	7.648880538	5.835590518
0.237	9.468929226	8.561749711	7.654570196	5.840211166
0.238	9.475597807	8.567890911	7.660184016	5.844770224
0.239	9.482177502	8.573950255	7.665723008	5.849268514
0.24	9.488669496	8.579928833	7.671188171	5.853706846
0.241	9.495074957	8.585827722	7.676580488	5.858086019
0.242	9.501395038	8.591647984	7.68190093	5.862406821
0.243	9.507630879	8.597390667	7.687150455	5.866670031
0.244	9.513783601	8.603056805	7.692330009	5.870876416
0.245	9.519854313	8.608647418	7.697440523	5.875026733
0.246	9.525844108	8.614163514	7.702482919	5.879121731
0.247	9.531754064	8.619606084	7.707458105	5.883162146
0.248	9.537585245	8.62497611	7.712366975	5.887148705
0.249	9.543338702	8.630274558	7.717210415	5.891082127
0.25	9.54901547	8.635502383	7.721989295	5.89496312
0.251	9.554616572	8.640660525	7.726704478	5.898792383
0.252	9.560143016	8.645749914	7.731356811	5.902570605
0.253	9.565595798	8.650771465	7.735947132	5.906298467
0.254	9.570975899	8.655726084	7.740476269	5.909976639
0.255	9.576284287	8.660614662	7.744945036	5.913605785
0.256	9.58152192	8.665438079	7.749354239	5.917186558
0.257	9.586689739	8.670197205	7.75370467	5.920719601
0.258	9.591788676	8.674892895	7.757997115	5.924205553
0.259	9.596819649	8.679525997	7.762232344	5.92764504
0.26	9.601783563	8.684097342	7.766411122	5.931038681
0.261	9.606681312	8.688607756	7.7705342	5.934387088
0.262	9.611513779	8.69305805	7.774602322	5.937690864
0.263	9.616281833	8.697449026	7.778616218	5.940950604
