t	I1	I2	I3	I4	i5
0.24	4.866524953	4.958281807	5.087928537	5.246375592	5.808075522
0.241	4.865052088	4.955412055	5.083505772	5.240425796	5.798448576
0.242	4.863611832	4.952594335	5.079150943	5.234555306	5.788913566
0.243	4.862203463	4.949827701	5.074863008	5.228763064	5.779469613
0.244	4.860826275	4.947111228	5.070640938	5.223048028	5.770115849
0.245	4.859479579	4.944444007	5.066483721	5.217409168	5.760851411
0.246	4.858162698	4.941825144	5.062390362	5.211845469	5.751675447
0.247	4.856874973	4.939253763	5.05835988	5.20635593	5.742587112
0.248	4.855615759	4.936729002	5.054391308	5.200939561	5.733585569
0.249	4.854384423	4.934250017	5.050483696	5.195595388	5.724669989
0.25	4.85318035	4.931815978	5.046636108	5.190322448	5.715839551
0.251	4.852002934	4.929426069	5.04284762	5.185119791	5.707093443
0.252	4.850851587	4.927079491	5.039117327	5.179986482	5.698430858
0.253	4.84972573	4.924775458	5.035444333	5.174921595	5.689851
0.254	4.8486248	4.922513199	5.031827759	5.169924218	5.681353077
0.255	4.847548245	4.920291955	5.028266737	5.164993452	5.672936309
0.256	4.846495525	4.918110985	5.024760415	5.160128409	5.664599919
0.257	4.845466112	4.915969556	5.021307953	5.155328213	5.65634314
0.258	4.84445949	4.913866954	5.017908522	5.150591999	5.648165212
0.259	4.843475155	4.911802472	5.014561309	5.145918915	5.640065381
0.26	4.842512613	4.909775421	5.011265511	5.141308118	5.632042903
0.261	4.841571382	4.907785122	5.008020339	5.13675878	5.624097038
0.262	4.840650989	4.905830909	5.004825015	5.132270081	5.616227054
0.263	4.839750975	4.903912126	5.001678772	5.127841211	5.608432228
0.264	4.838870886	4.902028132	4.998580859	5.123471375	5.600711841
0.265	4.838010283	4.900178296	4.995530531	5.119159785	5.593065182
0.266	4.837168734	4.898361999	4.992527058	5.114905664	5.585491547
0.267	4.836345816	4.896578633	4.98956972	5.110708248	5.57799024
0.268	4.835541118	4.8948276	4.986657809	5.106566779	5.570560568
0.269	4.834754236	4.893108314	4.983790626	5.102480512	5.563201849
0.27	4.833984776	4.891420201	4.980967486	5.098448712	5.555913404
0.271	4.833232351	4.889762694	4.97818771	5.094470652	5.548694562
0.272	4.832496585	4.888135238	4.975450634	5.090545616	5.541544659
0.273	4.831777109	4.886537289	4.972755601	5.086672897	5.534463036
0.274	4.831073563	4.884968313	4.970101965	5.082851799	5.527449042
0.275	4.830385593	4.883427782	4.967489091	5.079081632	5.52050203
0.276	4.829712854	4.881915183	4.964916352	5.075361718	5.513621361
0.277	4.82905501	4.880430008	4.962383133	5.071691387	5.506806401
0.278	4.828411731	4.87897176	4.959888825	5.068069979	5.500056523
0.279	4.827782694	4.877539951	4.957432831	5.064496841	5.493371105
0.28	4.827167584	4.876134102	4.955014563	5.06097133	5.486749531
0.281	4.826566092	4.874753741	4.952633441	5.057492811	5.480191193
0.282	4.825977918	4.873398408	4.950288894	5.054060657	5.473695485
0.283	4.825402766	4.872067647	4.947980361	5.050674251	5.46726181
0.284	4.824840347	4.870761014	4.945707289	5.047332983	5.460889576
0.285	4.824290381	4.869478072	4.943469133	5.04403625	5.454578195
0.286	4.823752591	4.868218389	4.941265356	5.040783461	5.448327087
0.287	4.823226707	4.866981546	4.93909543	5.037574028	5.442135676
0.288	4.822712467	4.865767127	4.936958836	5.034407375	5.436003392
0.289	4.822209612	4.864574727	4.934855062	5.031282929	5.429929671
0.29	4.82171789	4.863403946	4.932783602	5.028200131	5.423913952
0.291	4.821237055	4.862254391	4.930743962	5.025158423	5.417955682
0.292	4.820766865	4.861125679	4.928735652	5.022157258	5.412054313
0.293	4.820307086	4.860017431	4.926758191	5.019196096	5.4062093
0.294	4.819857486	4.858929276	4.924811104	5.016274404	5.400420107
0.295	4.819417841	4.857860851	4.922893927	5.013391656	5.394686199
0.296	4.818987929	4.856811796	4.921006198	5.010547332	5.389007049
0.297	4.818567535	4.855781762	4.919147466	5.00774092	5.383382134
0.298	4.818156449	4.854770402	4.917317285	5.004971916	5.377810936
0.299	4.817754464	4.85377738	4.915515217	5.00223982	5.372292942
0.3	4.81736138	4.852802361	4.91374083	4.99954414	5.366827644
0.301	4.816976998	4.85184502	4.911993699	4.996884391	5.361414539
0.302	4.816601126	4.850905037	4.910273405	4.994260095	5.356053128
0.303	4.816233577	4.849982095	4.908579535	4.991670778	5.350742917
0.304	4.815874165	4.849075888	4.906911685	4.989115974	5.345483418
0.305	4.81552271	4.84818611	4.905269453	4.986595224	5.340274146
0.306	4.815179036	4.847312465	4.903652448	4.984108073	5.335114622
0.307	4.814842972	4.84645466	4.90206028	4.981654074	5.33000437
0.308	4.814514348	4.845612407	4.90049257	4.979232784	5.324942921
0.309	4.814192999	4.844785424	4.89894894	4.976843768	5.319929807
0.31	4.813878766	4.843973436	4.897429022	4.974486595	5.314964568
0.311	4.813571489	4.843176169	4.89593245	4.972160842	5.310046746
0.312	4.813271016	4.842393357	4.894458867	4.969866089	5.305175888
0.313	4.812977195	4.841624738	4.893007919	4.967601922	5.300351546
0.314	4.812689879	4.840870055	4.891579258	4.965367935	5.295573276
0.315	4.812408925	4.840129055	4.890172543	4.963163726	5.290840637
0.316	4.812134191	4.839401489	4.888787435	4.960988896	5.286153194
0.317	4.811865539	4.838687115	4.887423604	4.958843055	5.281510516
0.318	4.811602835	4.837985692	4.886080722	4.956725816	5.276912174
