t	I1	I2	I3	I4
0.266	3.689230247	2.787760703	2.488929269	2.408118438
0.267	3.678344267	2.782592193	2.487212053	2.407882777
0.268	3.667550206	2.777492574	2.485527995	2.407653956
0.269	3.656847288	2.772460928	2.483876457	2.407431778
0.27	3.646234743	2.76749635	2.48225681	2.407216048
0.271	3.635711808	2.762597946	2.480668438	2.407006581
0.272	3.625277726	2.757764833	2.479110738	2.406803195
0.273	3.614931748	2.752996141	2.477583116	2.406605712
0.274	3.604673129	2.748291011	2.476084993	2.406413962
0.275	3.594501131	2.743648597	2.474615798	2.406227778
0.276	3.584415023	2.739068062	2.473174974	2.406046999
0.277	3.574414081	2.734548582	2.471761971	2.405871467
0.278	3.564497584	2.730089342	2.470376254	2.40570103
0.279	3.554664819	2.72568954	2.469017294	2.405535541
0.28	3.544915081	2.721348384	2.467684576	2.405374856
0.281	3.535247667	2.717065091	2.466377593	2.405218835
0.282	3.525661883	2.712838891	2.465095848	2.405067343
0.283	3.516157039	2.708669023	2.463838852	2.404920248
0.284	3.506732452	2.704554735	2.46260613	2.404777424
0.285	3.497387444	2.700495287	2.461397211	2.404638745
0.286	3.488121343	2.696489948	2.460211636	2.404504092
0.287	3.478933483	2.692537997	2.459048954	2.404373347
0.288	3.469823203	2.688638721	2.457908724	2.404246398
0.289	3.460789849	2.68479142	2.456790512	2.404123134
0.29	3.45183277	2.6809954	2.455693892	2.404003448
0.291	3.442951323	2.677249977	2.454618448	2.403887236
0.292	3.434144869	2.673554478	2.45356377	2.403774398
0.293	3.425412775	2.669908236	2.452529458	2.403664835
0.294	3.416754413	2.666310596	2.451515119	2.403558452
0.295	3.40816916	2.662760909	2.450520367	2.403455158
0.296	3.399656399	2.659258536	2.449544823	2.403354862
0.297	3.391215518	2.655802847	2.448588116	2.403257477
0.298	3.38284591	2.652393219	2.447649884	2.403162919
0.299	3.374546973	2.649029038	2.446729769	2.403071106
0.3	3.36631811	2.645709699	2.445827421	2.402981958
0.301	3.35815873	2.642434604	2.444942498	2.402895398
0.302	3.350068246	2.639203163	2.444074662	2.402811351
0.303	3.342046077	2.636014794	2.443223584	2.402729743
0.304	3.334091645	2.632868924	2.44238894	2.402650504
0.305	3.326204378	2.629764985	2.441570413	2.402573566
0.306	3.31838371	2.626702419	2.440767692	2.40249886
0.307	3.310629078	2.623680674	2.439980472	2.402426324
0.308	3.302939924	2.620699207	2.439208452	2.402355893
0.309	3.295315696	2.61775748	2.438451341	2.402287506
0.31	3.287755845	2.614854963	2.437708848	2.402221104
0.311	3.280259828	2.611991135	2.436980694	2.40215663
0.312	3.272827105	2.609165478	2.4362666	2.402094028
0.313	3.265457143	2.606377486	2.435566295	2.402033242
0.314	3.258149411	2.603626655	2.434879513	2.401974222
0.315	3.250903384	2.60091249	2.434205992	2.401916914
0.316	3.243718541	2.598234502	2.433545478	2.40186127
0.317	3.236594365	2.59559221	2.432897717	2.401807241
0.318	3.229530345	2.592985137	2.432262465	2.401754781
0.319	3.222525971	2.590412814	2.43163948	2.401703843
0.32	3.215580741	2.587874778	2.431028524	2.401654384
0.321	3.208694154	2.585370572	2.430429366	2.401606361
0.322	3.201865717	2.582899744	2.429841778	2.401559731
0.323	3.195094937	2.580461851	2.429265536	2.401514456
0.324	3.188381329	2.578056452	2.428700421	2.401470494
0.325	3.181724408	2.575683116	2.428146218	2.401427809
0.326	3.175123697	2.573341414	2.427602717	2.401386362
0.327	3.168578722	2.571030924	2.427069711	2.401346119
0.328	3.16208901	2.568751232	2.426546997	2.401307044
0.329	3.155654096	2.566501926	2.426034377	2.401269103
0.33	3.149273518	2.564282601	2.425531655	2.401232264
0.331	3.142946815	2.562092858	2.425038641	2.401196494
0.332	3.136673534	2.559932302	2.424555147	2.401161762
0.333	3.130453223	2.557800544	2.42408099	2.401128039
0.334	3.124285435	2.555697201	2.423615988	2.401095294
0.335	3.118169726	2.553621894	2.423159965	2.4010635
0.336	3.112105657	2.551574249	2.422712748	2.401032629
0.337	3.106092792	2.549553897	2.422274167	2.401002654
0.338	3.100130698	2.547560474	2.421844055	2.400973549
0.339	3.094218947	2.545593622	2.421422248	2.400945288
0.34	3.088357113	2.543652987	2.421008586	2.400917849
0.341	3.082544775	2.541738218	2.420602912	2.400891205
0.342	3.076781516	2.539848972	2.420205072	2.400865336
0.343	3.07106692	2.537984908	2.419814913	2.400840217
0.344	3.065400577	2.53614569	2.419432289	2.400815827
0.345	3.059782079	2.534330987	2.419057053	2.400792145
0.346	3.054211023	2.532540472	2.418689063	2.400769151
0.347	3.048687007	2.530773824	2.418328179	2.400746824
0.348	3.043209635	2.529030723	2.417974264	2.400725145
0.349	3.037778513	2.527310857	2.417627182	2.400704096
0.35	3.03239325	2.525613915	2.417286803	2.400683657
0.351	3.027053459	2.523939591	2.416952996	2.400663812
0.352	3.021758756	2.522287585	2.416625635	2.400644543
0.353	3.016508761	2.520657598	2.416304596	2.400625833
0.354	3.011303095	2.519049338	2.415989755	2.400607667
0.355	3.006141385	2.517462515	2.415680994	2.400590027
0.356	3.001023259	2.515896842	2.415378196	2.4005729
0.357	2.995948349	2.514352039	2.415081244	2.40055627
0.358	2.990916291	2.512827826	2.414790027	2.400540123
0.359	2.985926722	2.51132393	2.414504433	2.400524444
0.36	2.980979284	2.50984008	2.414224353	2.40050922
0.361	2.976073622	2.508376008	2.413949682	2.400494439
0.362	2.971209382	2.50693145	2.413680315	2.400480086
0.363	2.966386214	2.505506148	2.413416149	2.40046615
0.364	2.961603772	2.504099843	2.413157085	2.400452619
0.365	2.956861712	2.502712284	2.412903022	2.40043948
0.366	2.952159693	2.501343219	2.412653866	2.400426723
0.367	2.947497376	2.499992402	2.412409521	2.400414336
0.368	2.942874428	2.498659591	2.412169894	2.400402309
0.369	2.938290514	2.497344545	2.411934895	2.400390631
0.37	2.933745306	2.496047028	2.411704433	2.400379292
0.371	2.929238477	2.494766805	2.411478421	2.400368282
0.372	2.924769702	2.493503646	2.411256774	2.400357591
0.373	2.920338661	2.492257325	2.411039407	2.400347211
0.374	2.915945035	2.491027615	2.410826237	2.400337132
0.375	2.911588507	2.489814297	2.410617183	2.400327346
0.376	2.907268765	2.488617151	2.410412166	2.400317844
0.377	2.902985498	2.487435962	2.410211108	2.400308617
0.378	2.898738398	2.486270517	2.410013933	2.400299659
0.379	2.894527159	2.485120607	2.409820564	2.40029096
0.38	2.89035148	2.483986024	2.40963093	2.400282514
0.381	2.886211059	2.482866563	2.409444958	2.400274314
0.382	2.882105598	2.481762025	2.409262576	2.400266351
0.383	2.878034803	2.480672209	2.409083717	2.400258619
0.384	2.873998382	2.479596919	2.408908311	2.400251112
0.385	2.869996042	2.478535961	2.408736292	2.400243823
0.386	2.866027498	2.477489146	2.408567595	2.400236745
0.387	2.862092463	2.476456283	2.408402156	2.400229873
0.388	2.858190655	2.475437188	2.408239911	2.4002232
0.389	2.854321793	2.474431676	2.408080799	2.400216721
0.39	2.850485599	2.473439567	2.407924759	2.40021043
0.391	2.846681796	2.472460682	2.407771733	2.400204322
0.392	2.842910112	2.471494845	2.407621661	2.400198391
0.393	2.839170276	2.470541881	2.407474488	2.400192632
0.394	2.835462017	2.46960162	2.407330156	2.40018704
0.395	2.831785071	2.468673891	2.407188611	2.400181611
0.396	2.828139172	2.467758528	2.4070498	2.400176339
0.397	2.824524058	2.466855366	2.406913669	2.40017122
0.398	2.820939469	2.465964243	2.406780167	2.40016625
0.399	2.817385148	2.465084997	2.406649242	2.400161424
0.4	2.813860838	2.464217471	2.406520846	2.400156738
0.401	2.810366287	2.463361509	2.406394929	2.400152189
0.402	2.806901244	2.462516955	2.406271443	2.400147771
0.403	2.803465458	2.461683659	2.406150342	2.400143481
0.404	2.800058684	2.46086147	2.40603158	2.400139316
0.405	2.796680675	2.46005024	2.40591511	2.400135272
0.406	2.79333119	2.459249822	2.40580089	2.400131346
0.407	2.790009987	2.458460074	2.405688876	2.400127533
0.408	2.786716827	2.457680853	2.405579024	2.400123831
0.409	2.783451475	2.456912017	2.405471293	2.400120236
0.41	2.780213694	2.45615343	2.405365643	2.400116746
0.411	2.777003252	2.455404954	2.405262033	2.400113357
0.412	2.773819919	2.454666454	2.405160424	2.400110067
0.413	2.770663465	2.453937799	2.405060776	2.400106872
0.414	2.767533663	2.453218855	2.404963053	2.40010377
