t	U1	U2	U3	U4
0.187	9.989999999	9.989999999	9.989999999	9.989999999
0.188	9.989999999	9.989999999	9.989999999	9.989999999
0.189	9.989999999	9.989999999	9.989999999	9.989999999
0.19	9.99	9.99	9.99	9.99
0.191	9.99	9.99	9.99	9.99
0.192	9.99	9.99	9.99	9.99
0.193	9.99	9.99	9.99	9.99
0.194	9.99	9.99	9.99	9.99
0.195	9.99	9.99	9.99	9.99
0.196	9.99	9.99	9.99	9.99
0.197	9.99	9.99	9.99	9.99
0.198	9.99	9.99	9.99	9.99
0.199	9.99	9.99	9.99	9.99
0.2	9.99	9.99	9.99	9.99
0.201	9.99	9.99	9.99	9.99
0.202	9.99	9.99	9.99	9.99
0.203	9.99	9.99	9.99	9.99
0.204	9.99	9.99	9.99	9.99
0.205	9.99	9.99	9.99	9.99
0.206	9.99	9.99	9.99	9.99
0.207	9.99	9.99	9.99	9.99
0.208	9.99	9.99	9.99	9.99
0.209	9.99	9.99	9.99	9.99
0.21	9.99	9.99	9.99	9.99
0.211	9.99	9.99	9.99	9.99
0.212	9.99	9.99	9.99	9.99
0.213	9.99	9.99	9.99	9.99
0.214	9.99	9.99	9.99	9.99
0.215	9.99	9.99	9.99	9.99
0.216	9.99	9.99	9.99	9.99
0.217	9.99	9.99	9.99	9.99
0.218	9.99	9.99	9.99	9.99
0.219	9.99	9.99	9.99	9.99
0.22	9.99	9.99	9.99	9.99
0.221	9.99	9.99	9.99	9.99
0.222	9.99	9.99	9.99	9.99
0.223	9.99	9.99	9.99	9.99
0.224	9.99	9.99	9.99	9.99
0.225	9.99	9.99	9.99	9.99
0.226	9.99	9.99	9.99	9.99
0.227	9.99	9.99	9.99	9.99
0.228	9.99	9.99	9.99	9.99
0.229	9.99	9.99	9.99	9.99
0.23	9.99	9.99	9.99	9.99
0.231	9.99	9.99	9.99	9.99
0.232	9.99	9.99	9.99	9.99
0.233	9.99	9.99	9.99	9.99
0.234	9.99	9.99	9.99	9.99
0.235	9.99	9.99	9.99	9.99
0.236	9.99	9.99	9.99	9.99
0.237	9.99	9.99	9.99	9.99
0.238	9.99	9.99	9.99	9.99
0.239	9.99	9.99	9.99	9.99
0.24	9.99	9.99	9.99	9.99
0.241	9.99	9.99	9.99	9.99
0.242	9.99	9.99	9.99	9.99
0.243	9.99	9.99	9.99	9.99
0.244	9.99	9.99	9.99	9.99
0.245	9.99	9.99	9.99	9.99
0.246	9.99	9.99	9.99	9.99
0.247	9.99	9.99	9.99	9.99
0.248	9.99	9.99	9.99	9.99
0.249	9.99	9.99	9.99	9.99
0.25	9.99	9.99	9.99	9.99
0.251	9.99	9.99	9.99	9.99
0.252	9.99	9.99	9.99	9.99
0.253	9.99	9.99	9.99	9.99
0.254	9.99	9.99	9.99	9.99
0.255	9.99	9.99	9.99	9.99
0.256	9.99	9.99	9.99	9.99
0.257	9.99	9.99	9.99	9.99
0.258	9.99	9.99	9.99	9.99
0.259	9.99	9.99	9.99	9.99
0.26	9.99	9.99	9.99	9.99
0.261	9.99	9.99	9.99	9.99
0.262	9.99	9.99	9.99	9.99
