t	I1	I2	I3	I4
0.163	3.718149045	1.834809307	0.774712594	0.192562059
0.164	3.68675381	1.810352913	0.759752969	0.18697239
0.165	3.655623668	1.7862225	0.745082211	0.181544977
0.166	3.624756382	1.762413723	0.730694744	0.176275109
0.167	3.594149733	1.738922296	0.716585097	0.171158214
0.168	3.563801518	1.715743989	0.702747905	0.166189851
0.169	3.533709557	1.692874628	0.689177908	0.161365709
0.17	3.503871685	1.670310094	0.675869945	0.156681601
0.171	3.474285758	1.648046326	0.662818958	0.152133462
0.172	3.444949647	1.626079315	0.650019984	0.147717346
0.173	3.415861244	1.604405103	0.637468157	0.143429421
0.174	3.387018457	1.58301979	0.625158704	0.139265964
0.175	3.358419212	1.561919524	0.613086946	0.135223364
0.176	3.330061452	1.541100506	0.601248291	0.131298112
0.177	3.301943139	1.520558988	0.58963824	0.127486802
0.178	3.274062251	1.500291269	0.578252378	0.123786125
0.179	3.246416782	1.480293701	0.567086376	0.120192872
0.18	3.219004746	1.460562683	0.556135988	0.116703923
0.181	3.191824172	1.441094663	0.545397051	0.113316251
0.182	3.164873103	1.421886133	0.534865482	0.110026916
0.183	3.138149604	1.402933637	0.524537277	0.106833063
0.184	3.111651752	1.384233761	0.514408508	0.103731921
0.185	3.085377642	1.365783137	0.504475324	0.100720799
0.186	3.059325385	1.347578445	0.49473395	0.097797084
0.187	3.033493108	1.329616404	0.485180681	0.094958237
0.188	3.007878953	1.311893782	0.475811884	0.092201797
0.189	2.982481077	1.294407387	0.466623998	0.08952537
0.19	2.957297656	1.277154071	0.457613529	0.086926634
0.191	2.932326879	1.260130726	0.448777052	0.084403334
0.192	2.907566949	1.243334287	0.440111206	0.081953281
0.193	2.883016086	1.22676173	0.431612697	0.079574347
0.194	2.858672526	1.21041007	0.423278293	0.077264469
0.195	2.834534517	1.194276364	0.415104826	0.075021641
0.196	2.810600325	1.178357706	0.407089188	0.072843919
0.197	2.786868227	1.16265123	0.399228331	0.070729411
0.198	2.763336519	1.147154107	0.391519267	0.068676283
0.199	2.740003506	1.131863548	0.383959064	0.066682753
0.2	2.716867513	1.116776798	0.376544847	0.06474709
0.201	2.693926875	1.101891141	0.369273799	0.062867617
0.202	2.671179943	1.087203897	0.362143154	0.0610427
0.203	2.648625081	1.072712421	0.355150201	0.059270757
0.204	2.626260667	1.058414104	0.348292281	0.05755025
0.205	2.604085093	1.044306371	0.341566788	0.055879685
0.206	2.582096765	1.030386682	0.334971162	0.054257614
0.207	2.560294102	1.016652529	0.328502898	0.052682628
0.208	2.538675536	1.003101441	0.322159536	0.05115336
0.209	2.517239512	0.989730978	0.315938663	0.049668484
0.21	2.49598449	0.97653873	0.309837915	0.048226711
0.211	2.47490894	0.963522324	0.303854971	0.046826789
0.212	2.454011347	0.950679416	0.297987558	0.045467505
0.213	2.433290209	0.938007691	0.292233444	0.044147677
0.214	2.412744036	0.92550487	0.286590442	0.042866162
0.215	2.392371351	0.913168701	0.281056405	0.041621846
0.216	2.372170688	0.900996962	0.27562923	0.04041365
0.217	2.352140594	0.888987461	0.270306854	0.039240525
0.218	2.332279631	0.877138037	0.265087252	0.038101454
0.219	2.312586369	0.865446555	0.25996844	0.036995448
0.22	2.293059393	0.85391091	0.254948472	0.035921547
0.221	2.273697299	0.842529026	0.250025439	0.034878818
0.222	2.254498694	0.831298852	0.245197469	0.033866359
0.223	2.235462197	0.820218366	0.240462727	0.032883288
0.224	2.216586441	0.809285573	0.235819413	0.031928755
0.225	2.197870067	0.798498505	0.23126576	0.031001929
0.226	2.179311731	0.787855219	0.226800039	0.030102007
0.227	2.160910097	0.777353799	0.222420549	0.029228208
0.228	2.142663842	0.766992354	0.218125628	0.028379774
0.229	2.124571655	0.756769017	0.213913641	0.027555968
0.23	2.106632234	0.746681949	0.209782987	0.026756075
0.231	2.08884429	0.736729333	0.205732096	0.025979402
0.232	2.071206543	0.726909376	0.201759427	0.025225274
0.233	2.053717726	0.71722031	0.19786347	0.024493036
0.234	2.03637658	0.707660392	0.194042743	0.023782054
0.235	2.019181859	0.698227898	0.190295794	0.02309171
0.236	2.002132327	0.688921132	0.186621199	0.022421406
0.237	1.985226757	0.679738416	0.18301756	0.021770559
0.238	1.968463935	0.670678099	0.179483507	0.021138605
0.239	1.951842654	0.661738547	0.176017696	0.020524995
0.24	1.935361719	0.652918152	0.172618809	0.019929197
0.241	1.919019946	0.644215324	0.169285555	0.019350693
0.242	1.902816159	0.635628498	0.166016665	0.018788983
