t	alpha1	alpha2	alpha3	alpha4	alpha5
0.363	3.592877848	3.474502032	3.357768901	3.243618371	2.923726137
0.364	3.604979003	3.486585743	3.369815135	3.255602598	2.935379715
0.365	3.617080285	3.498669875	3.3818623	3.26758846	2.947037621
0.366	3.629181692	3.51075442	3.393910383	3.279575936	2.958699816
0.367	3.64128322	3.52283937	3.405959369	3.291565003	2.970366258
0.368	3.653384868	3.534924718	3.418009245	3.303555642	2.982036906
0.369	3.665486632	3.547010457	3.430059997	3.315547829	2.99371172
0.37	3.677588509	3.559096579	3.442111611	3.327541546	3.005390661
0.371	3.689690498	3.571183078	3.454164075	3.339536772	3.017073688
0.372	3.701792596	3.583269948	3.466217375	3.351533486	3.028760764
0.373	3.7138948	3.59535718	3.478271498	3.363531669	3.040451848
0.374	3.725997108	3.607444769	3.490326432	3.375531301	3.052146904
0.375	3.738099518	3.619532708	3.502382164	3.387532363	3.063845893
0.376	3.750202027	3.631620992	3.514438682	3.399534836	3.075548777
0.377	3.762304634	3.643709612	3.526495975	3.4115387	3.08725552
0.378	3.774407336	3.655798564	3.538554029	3.423543938	3.098966084
0.379	3.78651013	3.667887842	3.550612834	3.435550531	3.110680433
0.38	3.798613016	3.679977439	3.562672377	3.447558461	3.122398531
0.381	3.810715991	3.69206735	3.574732648	3.459567711	3.134120342
0.382	3.822819053	3.704157569	3.586793636	3.471578262	3.14584583
0.383	3.834922199	3.716248091	3.598855328	3.483590097	3.157574961
0.384	3.847025429	3.72833891	3.610917715	3.4956032	3.1693077
0.385	3.85912874	3.74043002	3.622980786	3.507617553	3.181044012
0.386	3.871232131	3.752521416	3.63504453	3.519633139	3.192783862
0.387	3.8833356	3.764613094	3.647108937	3.531649943	3.204527219
0.388	3.895439144	3.776705048	3.659173997	3.543667947	3.216274047
0.389	3.907542763	3.788797273	3.6712397	3.555687137	3.228024313
0.39	3.919646455	3.800889764	3.683306035	3.567707495	3.239777986
0.391	3.931750218	3.812982516	3.695372994	3.579729007	3.251535031
0.392	3.94385405	3.825075525	3.707440566	3.591751658	3.263295418
0.393	3.95595795	3.837168785	3.719508742	3.603775431	3.275059114
0.394	3.968061917	3.849262293	3.731577514	3.615800313	3.286826088
0.395	3.980165949	3.861356044	3.743646871	3.627826287	3.298596308
0.396	3.992270044	3.873450034	3.755716804	3.639853341	3.310369743
0.397	4.004374202	3.885544257	3.767787306	3.651881459	3.322146363
0.398	4.01647842	3.897638711	3.779858367	3.663910627	3.333926136
0.399	4.028582698	3.90973339	3.791929978	3.675940831	3.345709034
0.4	4.040687034	3.921828291	3.804002131	3.687972057	3.357495026
0.401	4.052791427	3.933923409	3.816074819	3.700004292	3.369284083
0.402	4.064895875	3.946018741	3.828148031	3.712037522	3.381076175
0.403	4.077000378	3.958114283	3.840221762	3.724071735	3.392871274
