t	w	U	I	alpha
0.23	9.4196574	9.99	0.746681949	2.854782124
0.231	9.426982732	9.99	0.736729333	2.873236141
0.232	9.434210423	9.99	0.726909376	2.891704409
0.233	9.441341776	9.99	0.71722031	2.910186736
0.234	9.448378074	9.99	0.707660392	2.928682935
0.235	9.455320584	9.99	0.698227898	2.947192822
0.236	9.462170557	9.99	0.688921132	2.965716213
0.237	9.468929226	9.99	0.679738416	2.98425293
0.238	9.475597807	9.99	0.670678099	3.002802794
0.239	9.482177502	9.99	0.661738547	3.02136563
0.24	9.488669496	9.99	0.652918152	3.039941265
0.241	9.495074957	9.99	0.644215324	3.058529529
0.242	9.501395038	9.99	0.635628498	3.077130253
0.243	9.507630879	9.99	0.627156127	3.095743271
0.244	9.513783601	9.99	0.618796685	3.114368419
0.245	9.519854313	9.99	0.610548667	3.133005536
0.246	9.525844108	9.99	0.602410588	3.151654462
0.247	9.531754064	9.99	0.594380982	3.17031504
0.248	9.537585245	9.99	0.586458404	3.188987114
0.249	9.543338702	9.99	0.578641427	3.207670531
0.25	9.54901547	9.99	0.570928644	3.22636514
0.251	9.554616572	9.99	0.563318665	3.245070792
0.252	9.560143016	9.99	0.55581012	3.26378734
0.253	9.565595798	9.99	0.548401658	3.282514638
0.254	9.570975899	9.99	0.541091944	3.301252542
0.255	9.576284287	9.99	0.533879663	3.320000913
0.256	9.58152192	9.99	0.526763514	3.33875961
0.257	9.586689739	9.99	0.519742218	3.357528495
0.258	9.591788676	9.99	0.512814509	3.376307433
0.259	9.596819649	9.99	0.505979141	3.395096289
0.26	9.601783563	9.99	0.499234882	3.413894932
0.261	9.606681312	9.99	0.492580518	3.432703231
0.262	9.611513779	9.99	0.486014851	3.451521058
0.263	9.616281833	9.99	0.479536699	3.470348285
0.264	9.620986334	9.99	0.473144895	3.489184787
0.265	9.625628127	9.99	0.466838288	3.50803044
0.266	9.630208049	9.99	0.460615742	3.526885123
0.267	9.634726925	9.99	0.454476137	3.545748715
0.268	9.639185569	9.99	0.448418369	3.564621097
0.269	9.643584782	9.99	0.442441344	3.583502153
0.27	9.647925358	9.99	0.436543989	3.602391766
0.271	9.652208078	9.99	0.43072524	3.621289823
0.272	9.656433713	9.99	0.424984049	3.64019621
0.273	9.660603023	9.99	0.419319384	3.659110818
0.274	9.664716761	9.99	0.413730224	3.678033536
