t	w1	w2	w3	w4
0.274	8.873285715	9.664716761	9.9058918	9.964306141
0.275	8.882539636	9.668775666	9.90711487	9.964449093
0.276	8.89171542	9.67278047	9.908314323	9.964587895
0.277	8.900813725	9.676731892	9.909490614	9.964722668
0.278	8.909835206	9.680630646	9.910644191	9.964853529
0.279	8.918780511	9.684477433	9.911775493	9.964980591
0.28	8.927650285	9.688272946	9.912884949	9.965103965
0.281	8.936445164	9.692017868	9.913972982	9.965223758
0.282	8.945165781	9.695712873	9.915040005	9.965340073
0.283	8.953812763	9.699358627	9.916086424	9.965453012
0.284	8.962386731	9.702955786	9.917112637	9.965562672
0.285	8.970888303	9.706504999	9.918119034	9.965669149
0.286	8.97931809	9.710006903	9.919105997	9.965772536
0.287	8.987676697	9.71346213	9.920073902	9.965872921
0.288	8.995964726	9.716871302	9.921023117	9.965970393
0.289	9.004182773	9.720235033	9.921954002	9.966065035
0.29	9.012331428	9.723553928	9.922866913	9.966156929
0.291	9.020411278	9.726828585	9.923762195	9.966246156
0.292	9.028422903	9.730059594	9.924640189	9.966332794
0.293	9.03636688	9.733247536	9.925501229	9.966416916
0.294	9.04424378	9.736392986	9.926345643	9.966498596
0.295	9.052054169	9.73949651	9.927173751	9.966577905
0.296	9.059798608	9.742558666	9.927985868	9.966654913
0.297	9.067477656	9.745580007	9.928782304	9.966729684
0.298	9.075091863	9.748561076	9.92956336	9.966802286
0.299	9.082641777	9.75150241	9.930329334	9.96687278
0.3	9.090127941	9.754404538	9.931080518	9.966941227
0.301	9.097550894	9.757267984	9.931817196	9.967007688
0.302	9.10491117	9.760093262	9.932539649	9.967072219
0.303	9.112209296	9.762880882	9.933248151	9.967134877
0.304	9.119445799	9.765631345	9.933942972	9.967195717
0.305	9.126621198	9.768345147	9.934624377	9.96725479
0.306	9.13373601	9.771022776	9.935292623	9.967312149
0.307	9.140790746	9.773664715	9.935947966	9.967367842
0.308	9.147785914	9.77627144	9.936590654	9.967421919
0.309	9.154722015	9.778843419	9.937220932	9.967474426
0.31	9.16159955	9.781381115	9.937839039	9.967525409
0.311	9.168419012	9.783884987	9.93844521	9.967574913
0.312	9.175180892	9.786355484	9.939039677	9.967622979
0.313	9.181885677	9.788793051	9.939622664	9.967669649
0.314	9.188533847	9.791198128	9.940194394	9.967714966
0.315	9.195125882	9.793571147	9.940755084	9.967758966
0.316	9.201662256	9.795912536	9.941304947	9.96780169
0.317	9.208143437	9.798222716	9.941844192	9.967843173
0.318	9.214569893	9.800502104	9.942373025	9.967883452
0.319	9.220942085	9.802751109	9.942891645	9.967922562
0.32	9.227260472	9.804970137	9.943400252	9.967960536
0.321	9.233525508	9.807159588	9.943899037	9.967997408
0.322	9.239737643	9.809319855	9.94438819	9.96803321
0.323	9.245897324	9.811451327	9.944867898	9.968067973
0.324	9.252004994	9.813554389	9.945338343	9.968101727
0.325	9.258061093	9.815629419	9.945799704	9.9681345
0.326	9.264066055	9.81767679	9.946252156	9.968166323
0.327	9.270020312	9.819696872	9.946695871	9.968197221
0.328	9.275924293	9.821690028	9.947131018	9.968227223
0.329	9.281778422	9.823656617	9.947557762	9.968256354
0.33	9.28758312	9.825596993	9.947976266	9.968284639
0.331	9.293338804	9.827511505	9.948386689	9.968312103
0.332	9.299045889	9.829400499	9.948789186	9.96833877
0.333	9.304704784	9.831264314	9.949183911	9.968364663
0.334	9.310315897	9.833103286	9.949571014	9.968389805
0.335	9.315879631	9.834917746	9.949950642	9.968414216
0.336	9.321396386	9.836708021	9.95032294	9.968437919
0.337	9.326866558	9.838474433	9.950688049	9.968460934
0.338	9.332290542	9.840217301	9.951046107	9.96848328
0.339	9.337668727	9.841936937	9.951397251	9.968504978
0.34	9.343001499	9.843633653	9.951741615	9.968526047
0.341	9.348289243	9.845307752	9.952079329	9.968546503
0.342	9.353532338	9.846959537	9.952410522	9.968566366
0.343	9.358731162	9.848589306	9.952735319	9.968585652
0.344	9.363886087	9.850197351	9.953053845	9.968604379
0.345	9.368997486	9.851783962	9.95336622	9.968622562
0.346	9.374065725	9.853349425	9.953672563	9.968640217
0.347	9.37909117	9.854894022	9.953972991	9.968657359
