t	alpha1	alpha2	alpha3	alpha4
0.47	6.663403204	7.463318807	7.910394306	8.242433122
0.471	6.682520741	7.482799191	7.929914694	8.26195617
0.472	6.701641701	7.502280144	7.949435134	8.281479218
0.473	6.720766057	7.521761659	7.968955625	8.301002267
0.474	6.73989378	7.541243727	7.988476166	8.320525317
0.475	6.75902484	7.560726343	8.007996756	8.340048367
0.476	6.778159211	7.580209497	8.027517394	8.359571419
0.477	6.797296865	7.599693184	8.047038079	8.379094471
0.478	6.816437772	7.619177395	8.06655881	8.398617524
0.479	6.835581907	7.638662125	8.086079586	8.418140577
0.48	6.854729241	7.658147366	8.105600407	8.437663632
0.481	6.873879748	7.677633111	8.125121272	8.457186687
0.482	6.893033401	7.697119353	8.144642179	8.476709742
0.483	6.912190173	7.716606087	8.164163128	8.496232798
0.484	6.931350038	7.736093305	8.183684118	8.515755855
0.485	6.95051297	7.755581001	8.203205149	8.535278913
0.486	6.969678943	7.775069169	8.222726218	8.55480197
0.487	6.988847932	7.794557802	8.242247327	8.574325029
0.488	7.00801991	7.814046894	8.261768474	8.593848088
0.489	7.027194853	7.833536439	8.281289658	8.613371148
0.49	7.046372735	7.853026431	8.300810878	8.632894208
0.491	7.065553532	7.872516864	8.320332135	8.652417268
0.492	7.084737219	7.892007732	8.339853426	8.671940329
