t	w	alpha
0.524	10.03981707	8.633699778
0.525	10.03991355	8.652807835
0.526	10.04000175	8.671916074
0.527	10.04009551	8.69102448
0.528	10.04018133	8.710133062
0.529	10.04027246	8.729241808
0.53	10.04035595	8.748350725
0.531	10.04044453	8.767459801
0.532	10.04052576	8.786569043
0.533	10.04061185	8.80567844
0.534	10.04069088	8.824787998
0.535	10.04077456	8.843897707
0.536	10.04085145	8.863007573
0.537	10.04093278	8.882117585
0.538	10.04100759	8.90122775
0.539	10.04108664	8.920338057
0.54	10.04115942	8.939448513
0.541	10.04123625	8.958559107
0.542	10.04130707	8.977669846
0.543	10.04138174	8.996780719
0.544	10.04145063	9.015891733
0.545	10.04152322	9.035002877
0.546	10.04159024	9.054114158
0.547	10.04166079	9.073225567
0.548	10.041726	9.092337107
0.549	10.04179458	9.111448772
0.55	10.04185801	9.130560566
0.551	10.04192467	9.149672481
0.552	10.04198639	9.16878452
0.553	10.04205117	9.187896678
0.554	10.04211121	9.207008956
0.555	10.04217419	9.226121349
0.556	10.0422326	9.245233861
0.557	10.04229381	9.264346483
0.558	10.04235064	9.28345922
0.559	10.04241014	9.302572066
0.56	10.04246542	9.321685023
0.561	10.04252325	9.340798086
0.562	10.04257703	9.359911257
0.563	10.04263325	9.37902453
0.564	10.04268557	9.398137909
0.565	10.04274021	9.417251387
0.566	10.04279111	9.436364969
0.567	10.04284423	9.455478646
0.568	10.04289374	9.474592424
0.569	10.04294537	9.493706296
0.57	10.04299354	9.512820265
0.571	10.04304373	9.531934325
0.572	10.04309058	9.55104848
0.573	10.04313937	9.570162724
0.574	10.04318495	9.58927706
0.575	10.04323238	9.608391482
0.576	10.04327672	9.627505993
0.577	10.04332282	9.646620589
0.578	10.04336595	9.665735271
0.579	10.04341076	9.684850036
0.58	10.04345273	9.703964884
0.581	10.04349628	9.723079812
0.582	10.0435371	9.742194823
0.583	10.04357945	9.76130991
0.584	10.04361915	9.780425078
0.585	10.04366031	9.79954032
0.586	10.04369894	9.818655641
0.587	10.04373895	9.837771034
0.588	10.04377653	9.856886503
0.589	10.04381542	9.876002043
0.59	10.04385198	9.895117657
0.591	10.04388978	9.914233339
0.592	10.04392534	9.933349093
0.593	10.04396209	9.952464915
0.594	10.04399668	9.971580805
0.595	10.04403241	9.990696762
0.596	10.04406605	10.00981279
0.597	10.04410079	10.02892887
0.598	10.04413351	10.04804503
0.599	10.04416728	10.06716124
0.6	10.04419911	10.08627752
