t	alpha1	alpha2	alpha3	alpha4
0.398	4.245454679	4.863390868	5.221432895	5.490040952
0.399	4.26064951	4.879111414	5.237238522	5.505855726
0.4	4.275849577	4.894833219	5.253044331	5.521670507
0.401	4.291054837	4.910556266	5.268850316	5.537485293
0.402	4.306265245	4.926280538	5.284656476	5.553300086
0.403	4.321480758	4.94200602	5.300462806	5.569114884
0.404	4.336701333	4.957732695	5.316269303	5.584929688
0.405	4.351926927	4.973460546	5.332075964	5.600744497
0.406	4.367157497	4.98918956	5.347882786	5.616559312
0.407	4.382393003	5.004919719	5.363689765	5.632374132
0.408	4.397633401	5.020651009	5.3794969	5.648188956
0.409	4.412878651	5.036383415	5.395304186	5.664003785
0.41	4.428128712	5.052116922	5.411111621	5.67981862
0.411	4.443383544	5.067851514	5.426919201	5.695633458
0.412	4.458643104	5.083587179	5.442726925	5.711448301
0.413	4.473907355	5.0993239	5.458534789	5.727263148
0.414	4.489176257	5.115061665	5.474342791	5.743078
0.415	4.504449769	5.13080046	5.490150928	5.758892855
0.416	4.519727853	5.146540269	5.505959197	5.774707714
0.417	4.535010471	5.162281081	5.521767596	5.790522578
0.418	4.550297584	5.178022882	5.537576122	5.806337444
0.419	4.565589155	5.193765658	5.553384773	5.822152315
0.42	4.580885145	5.209509397	5.569193546	5.837967189
0.421	4.596185517	5.225254086	5.585002439	5.853782066
0.422	4.611490235	5.240999711	5.60081145	5.869596946
0.423	4.626799261	5.256746261	5.616620577	5.88541183
0.424	4.64211256	5.272493724	5.632429817	5.901226717
0.425	4.657430094	5.288242086	5.648239167	5.917041607
0.426	4.672751829	5.303991337	5.664048627	5.932856499
0.427	4.68807773	5.319741463	5.679858194	5.948671395
0.428	4.703407759	5.335492455	5.695667865	5.964486293
0.429	4.718741884	5.351244299	5.711477639	5.980301194
0.43	4.734080069	5.366996985	5.727287513	5.996116098
0.431	4.74942228	5.382750502	5.743097487	6.011931004
0.432	4.764768484	5.398504838	5.758907557	6.027745912
0.433	4.780118645	5.414259982	5.774717722	6.043560823
0.434	4.795472731	5.430015924	5.790527981	6.059375736
0.435	4.81083071	5.445772653	5.806338331	6.075190652
0.436	4.826192547	5.461530159	5.82214877	6.091005569
0.437	4.84155821	5.477288431	5.837959297	6.106820489
0.438	4.856927668	5.493047459	5.853769911	6.122635411
