t	I1	I2	I3	I4
0.278	0.392108705	1.561099024	2.730089342	5.068069979
0.279	0.38688224	1.55628589	2.72568954	5.064496841
0.28	0.381725438	1.551536911	2.721348384	5.06097133
0.281	0.376637372	1.546851232	2.717065091	5.057492811
0.282	0.371617126	1.542228009	2.712838891	5.054060657
0.283	0.366663795	1.537666409	2.708669023	5.050674251
0.284	0.361776488	1.533165611	2.704554735	5.047332983
0.285	0.356954324	1.528724806	2.700495287	5.04403625
0.286	0.352196435	1.524343192	2.696489948	5.040783461
0.287	0.347501965	1.520019981	2.692537997	5.037574028
0.288	0.342870068	1.515754395	2.688638721	5.034407375
0.289	0.338299911	1.511545665	2.68479142	5.031282929
0.29	0.333790669	1.507393035	2.6809954	5.028200131
0.291	0.329341532	1.503295755	2.677249977	5.025158423
0.292	0.324951698	1.499253088	2.673554478	5.022157258
0.293	0.320620376	1.495264306	2.669908236	5.019196096
0.294	0.316346787	1.491328691	2.666310596	5.016274404
0.295	0.312130162	1.487445535	2.662760909	5.013391656
0.296	0.30796974	1.483614138	2.659258536	5.010547332
0.297	0.303864773	1.47983381	2.655802847	5.00774092
0.298	0.299814522	1.47610387	2.652393219	5.004971916
0.299	0.295818257	1.472423647	2.649029038	5.00223982
0.3	0.291875258	1.468792479	2.645709699	4.99954414
0.301	0.287984817	1.46520971	2.642434604	4.996884391
0.302	0.284146231	1.461674697	2.639203163	4.994260095
0.303	0.280358811	1.458186803	2.636014794	4.991670778
0.304	0.276621873	1.454745399	2.632868924	4.989115974
0.305	0.272934746	1.451349865	2.629764985	4.986595224
0.306	0.269296765	1.447999592	2.626702419	4.984108073
0.307	0.265707275	1.444693974	2.623680674	4.981654074
0.308	0.262165629	1.441432418	2.620699207	4.979232784
0.309	0.258671191	1.438214335	2.61775748	4.976843768
0.31	0.255223331	1.435039147	2.614854963	4.974486595
0.311	0.251821427	1.431906281	2.611991135	4.972160842
0.312	0.248464868	1.428815173	2.609165478	4.969866089
0.313	0.245153049	1.425765267	2.606377486	4.967601922
0.314	0.241885374	1.422756014	2.603626655	4.965367935
0.315	0.238661253	1.419786871	2.60091249	4.963163726
0.316	0.235480108	1.416857305	2.598234502	4.960988896
0.317	0.232341364	1.413966787	2.59559221	4.958843055
0.318	0.229244457	1.411114797	2.592985137	4.956725816
0.319	0.226188829	1.408300822	2.590412814	4.954636798
0.32	0.22317393	1.405524354	2.587874778	4.952575625
0.321	0.220199217	1.402784894	2.585370572	4.950541926
0.322	0.217264155	1.400081949	2.582899744	4.948535334
0.323	0.214368214	1.397415032	2.580461851	4.946555488
0.324	0.211510873	1.394783663	2.578056452	4.944602031
0.325	0.208691618	1.392187367	2.575683116	4.942674613
0.326	0.205909942	1.389625678	2.573341414	4.940772885
0.327	0.203165343	1.387098134	2.571030924	4.938896506
0.328	0.200457327	1.384604279	2.568751232	4.937045137
0.329	0.197785406	1.382143666	2.566501926	4.935218446
0.33	0.1951491	1.37971585	2.564282601	4.933416102
0.331	0.192547933	1.377320395	2.562092858	4.931637782
0.332	0.189981438	1.37495687	2.559932302	4.929883166
0.333	0.187449152	1.372624848	2.557800544	4.928151937
0.334	0.184950618	1.37032391	2.555697201	4.926443784
0.335	0.182485389	1.368053641	2.553621894	4.924758399
0.336	0.180053018	1.365813633	2.551574249	4.923095479
0.337	0.177653069	1.363603483	2.549553897	4.921454724
0.338	0.175285109	1.361422792	2.547560474	4.919835839
0.339	0.172948712	1.359271167	2.545593622	4.918238532
0.34	0.170643457	1.357148222	2.543652987	4.916662516
0.341	0.16836893	1.355053574	2.541738218	4.915107507
0.342	0.166124719	1.352986846	2.539848972	4.913573225
0.343	0.163910422	1.350947665	2.537984908	4.912059393
0.344	0.16172564	1.348935665	2.53614569	4.910565739
0.345	0.159569979	1.346950483	2.534330987	4.909091995
0.346	0.157443051	1.344991761	2.532540472	4.907637894
0.347	0.155344473	1.343059148	2.530773824	4.906203175
0.348	0.153273867	1.341152295	2.529030723	4.90478758
0.349	0.15123086	1.339270859	2.527310857	4.903390853
0.35	0.149215085	1.3374145	2.525613915	4.902012744
0.351	0.147226179	1.335582885	2.523939591	4.900653003
0.352	0.145263783	1.333775684	2.522287585	4.899311387
0.353	0.143327544	1.331992571	2.520657598	4.897987653
0.354	0.141417113	1.330233226	2.519049338	4.896681563
0.355	0.139532147	1.328497331	2.517462515	4.895392883
0.356	0.137672306	1.326784574	2.515896842	4.894121379
0.357	0.135837254	1.325094647	2.514352039	4.892866824
0.358	0.134026663	1.323427245	2.512827826	4.89162899
0.359	0.132240205	1.321782068	2.51132393	4.890407656
0.36	0.130477559	1.320158819	2.50984008	4.889202601
0.361	0.128738407	1.318557207	2.508376008	4.888013609
0.362	0.127022437	1.316976944	2.50693145	4.886840464
0.363	0.125329339	1.315417743	2.505506148	4.885682957
0.364	0.123658809	1.313879326	2.504099843	4.884540878
0.365	0.122010545	1.312361414	2.502712284	4.883414022
0.366	0.120384251	1.310863735	2.501343219	4.882302186
0.367	0.118779635	1.309386018	2.499992402	4.88120517
0.368	0.117196406	1.307927999	2.498659591	4.880122776
0.369	0.115634281	1.306489413	2.497344545	4.87905481
0.37	0.114092977	1.305070002	2.496047028	4.878001079
0.371	0.112572217	1.303669511	2.494766805	4.876961393
0.372	0.111071728	1.302287687	2.493503646	4.875935565
0.373	0.109591239	1.300924282	2.492257325	4.87492341
0.374	0.108130484	1.29957905	2.491027615	4.873924747
0.375	0.1066892	1.298251748	2.489814297	4.872939394
0.376	0.105267126	1.296942138	2.488617151	4.871967176
0.377	0.103864007	1.295649985	2.487435962	4.871007917
0.378	0.102479591	1.294375054	2.486270517	4.870061443
0.379	0.101113628	1.293117117	2.485120607	4.869127586
0.38	0.099765872	1.291875948	2.483986024	4.868206175
0.381	0.09843608	1.290651322	2.482866563	4.867297047
0.382	0.097124013	1.289443019	2.481762025	4.866400036
0.383	0.095829435	1.288250822	2.480672209	4.865514982
0.384	0.094552113	1.287074516	2.479596919	4.864641725
0.385	0.093291816	1.285913889	2.478535961	4.863780107
0.386	0.092048318	1.284768732	2.477489146	4.862929974
0.387	0.090821394	1.283638839	2.476456283	4.862091173
0.388	0.089610825	1.282524006	2.475437188	4.861263552
0.389	0.088416391	1.281424034	2.474431676	4.860446962
0.39	0.087237878	1.280338723	2.473439567	4.859641257
0.391	0.086075073	1.279267878	2.472460682	4.858846291
0.392	0.084927768	1.278211306	2.471494845	4.858061922
0.393	0.083795755	1.277168818	2.470541881	4.857288007
0.394	0.082678831	1.276140225	2.46960162	4.856524408
0.395	0.081576795	1.275125343	2.468673891	4.855770987
0.396	0.080489447	1.274123988	2.467758528	4.855027609
0.397	0.079416594	1.27313598	2.466855366	4.854294139
0.398	0.07835804	1.272161141	2.465964243	4.853570446
0.399	0.077313596	1.271199297	2.465084997	4.852856399
0.4	0.076283073	1.270250272	2.464217471	4.852151869
0.401	0.075266287	1.269313898	2.463361509	4.85145673
0.402	0.074263053	1.268390004	2.462516955	4.850770857
0.403	0.073273192	1.267478425	2.461683659	4.850094126
0.404	0.072296524	1.266578997	2.46086147	4.849426415
0.405	0.071332875	1.265691557	2.46005024	4.848767604
0.406	0.07038207	1.264815946	2.459249822	4.848117575
0.407	0.069443939	1.263952006	2.458460074	4.84747621
0.408	0.068518312	1.263099582	2.457680853	4.846843394
0.409	0.067605023	1.26225852	2.456912017	4.846219012
0.41	0.066703907	1.261428668	2.45615343	4.845602953
0.411	0.065814802	1.260609878	2.455404954	4.844995106
0.412	0.064937549	1.259802002	2.454666454	4.84439536
0.413	0.064071988	1.259004893	2.453937799	4.843803609
0.414	0.063217964	1.25821841	2.453218855	4.843219745
0.415	0.062375324	1.257442409	2.452509494	4.842643664
0.416	0.061543916	1.256676752	2.451809589	4.842075261
0.417	0.060723589	1.255921301	2.451119012	4.841514435
0.418	0.059914197	1.255175919	2.45043764	4.840961084
0.419	0.059115593	1.254440472	2.449765351	4.840415108
0.42	0.058327634	1.253714828	2.449102022	4.83987641
0.421	0.057550178	1.252998857	2.448447535	4.839344893
0.422	0.056783084	1.252292428	2.447801772	4.83882046
0.423	0.056026216	1.251595416	2.447164616	4.838303017
0.424	0.055279435	1.250907694	2.446535953	4.837792471
0.425	0.054542609	1.250229139	2.44591567	4.837288731
0.426	0.053815604	1.249559629	2.445303654	4.836791705
0.427	0.053098289	1.248899042	2.444699796	4.836301304
0.428	0.052390535	1.248247261	2.444103987	4.835817439
0.429	0.051692215	1.247604167	2.443516119	4.835340024
0.43	0.051003203	1.246969645	2.442936088	4.834868972
0.431	0.050323375	1.246343581	2.442363787	4.834404199
0.432	0.049652609	1.245725862	2.441799115	4.833945622
0.433	0.048990783	1.245116376	2.441241969	4.833493156
0.434	0.048337779	1.244515014	2.44069225	4.833046722
0.435	0.047693478	1.243921668	2.440149858	4.832606238
0.436	0.047057766	1.243336231	2.439614696	4.832171625
0.437	0.046430527	1.242758597	2.439086666	4.831742806
0.438	0.045811649	1.242188662	2.438565675	4.831319702
0.439	0.04520102	1.241626324	2.438051629	4.830902238
0.44	0.04459853	1.241071482	2.437544434	4.830490338
0.441	0.04400407	1.240524035	2.437043999	4.830083928
0.442	0.043417535	1.239983885	2.436550235	4.829682936
0.443	0.042838817	1.239450935	2.436063053	4.829287288
0.444	0.042267813	1.238925088	2.435582364	4.828896915
0.445	0.04170442	1.238406251	2.435108082	4.828511744
0.446	0.041148537	1.237894329	2.434640122	4.828131707
0.447	0.040600063	1.237389231	2.4341784	4.827756736
0.448	0.040058899	1.236890865	2.433722831	4.827386763
0.449	0.039524949	1.236399142	2.433273336	4.827021722
0.45	0.038998116	1.235913974	2.432829831	4.826661546
0.451	0.038478306	1.235435272	2.432392238	4.826306171
0.452	0.037965424	1.234962951	2.431960478	4.825955533
0.453	0.037459378	1.234496925	2.431534473	4.825609568
0.454	0.036960077	1.234037112	2.431114146	4.825268215
0.455	0.036467432	1.233583427	2.430699422	4.824931412
0.456	0.035981353	1.233135789	2.430290225	4.824599098
0.457	0.035501753	1.232694118	2.429886483	4.824271214
0.458	0.035028545	1.232258334	2.429488122	4.823947699
0.459	0.034561646	1.231828359	2.429095072	4.823628498
0.46	0.034100969	1.231404114	2.42870726	4.82331355
0.461	0.033646433	1.230985525	2.428324617	4.823002801
0.462	0.033197956	1.230572515	2.427947075	4.822696194
0.463	0.032755456	1.23016501	2.427574565	4.822393674
0.464	0.032318854	1.229762937	2.42720702	4.822095186
0.465	0.031888072	1.229366223	2.426844374	4.821800676
0.466	0.031463032	1.228974797	2.426486562	4.821510092
0.467	0.031043658	1.228588589	2.42613352	4.821223381
0.468	0.030629873	1.228207528	2.425785183	4.820940492
0.469	0.030221603	1.227831546	2.425441489	4.820661374
0.47	0.029818776	1.227460576	2.425102376	4.820385976
0.471	0.029421318	1.22709455	2.424767783	4.820114249
0.472	0.029029157	1.226733404	2.42443765	4.819846143
0.473	0.028642224	1.226377071	2.424111918	4.819581612
0.474	0.028260448	1.226025488	2.423790527	4.819320606
0.475	0.027883761	1.225678591	2.42347342	4.819063079
0.476	0.027512095	1.225336318	2.42316054	4.818808985
0.477	0.027145383	1.224998607	2.42285183	4.818558278
0.478	0.026783559	1.224665397	2.422547236	4.818310912
0.479	0.026426557	1.224336629	2.422246701	4.818066844
0.48	0.026074315	1.224012243	2.421950172	4.817826029
0.481	0.025726767	1.223692181	2.421657595	4.817588423
0.482	0.025383852	1.223376385	2.421368918	4.817353985
0.483	0.025045507	1.223064798	2.421084089	4.817122671
0.484	0.024711672	1.222757365	2.420803057	4.816894441
0.485	0.024382287	1.222454029	2.42052577	4.816669253
0.486	0.024057293	1.222154736	2.42025218	4.816447067
0.487	0.02373663	1.221859433	2.419982236	4.816227842
0.488	0.023420242	1.221568066	2.41971589	4.816011539
0.489	0.02310807	1.221280583	2.419453095	4.815798119
0.49	0.02280006	1.220996931	2.419193802	4.815587544
0.491	0.022496155	1.22071706	2.418937965	4.815379776
0.492	0.022196301	1.22044092	2.418685539	4.815174777
0.493	0.021900444	1.22016846	2.418436477	4.81497251
