t	w1	w2	w3	w4
0.188	6.188553234	7.26288345	7.785960144	8.021389406
0.189	6.204488225	7.273718111	7.791555761	8.022967081
0.19	6.220288665	7.284408356	7.797043327	8.024498959
0.191	6.235955689	7.294956109	7.802424929	8.02598637
0.192	6.251490425	7.30536327	7.807702612	8.027430605
0.193	6.266893988	7.315631712	7.812878384	8.028832916
0.194	6.282167487	7.325763285	7.817954213	8.030194521
0.195	6.29731202	7.335759813	7.822932027	8.031516602
0.196	6.312328676	7.345623096	7.82781372	8.032800305
0.197	6.327218535	7.355354911	7.832601148	8.034046745
0.198	6.341982666	7.364957008	7.837296132	8.035257004
0.199	6.356622133	7.374431118	7.841900455	8.036432131
0.2	6.371137987	7.383778947	7.84641587	8.037573146
0.201	6.385531273	7.393002177	7.850844092	8.038681041
0.202	6.399803024	7.40210247	7.855186806	8.039756775
0.203	6.413954269	7.411081463	7.859445662	8.040801284
0.204	6.427986023	7.419940775	7.86362228	8.041815472
0.205	6.441899296	7.428681999	7.867718248	8.04280022
0.206	6.455695088	7.437306711	7.871735123	8.043756384
0.207	6.469374392	7.445816463	7.875674433	8.044684791
0.208	6.482938191	7.454212788	7.879537675	8.045586249
0.209	6.496387459	7.462497196	7.883326318	8.04646154
0.21	6.509723166	7.470671181	7.887041803	8.047311423
0.211	6.522946268	7.478736214	7.890685542	8.048136635
0.212	6.536057717	7.486693747	7.89425892	8.048937893
0.213	6.549058457	7.494545213	7.897763297	8.049715893
0.214	6.56194942	7.502292026	7.901200005	8.050471308
0.215	6.574731536	7.50993558	7.904570351	8.051204796
0.216	6.587405721	7.517477253	7.907875615	8.051916992
0.217	6.599972889	7.524918402	7.911117055	8.052608514
0.218	6.612433943	7.532260367	7.914295903	8.053279963
0.219	6.624789778	7.53950447	7.917413368	8.053931921
0.22	6.637041282	7.546652015	7.920470634	8.054564954
0.221	6.649189338	7.55370429	7.923468865	8.055179611
0.222	6.661234819	7.560662564	7.926409201	8.055776426
0.223	6.67317859	7.56752809	7.929292759	8.056355917
0.224	6.68502151	7.574302105	7.932120636	8.056918587
0.225	6.696764431	7.580985828	7.934893906	8.057464923
0.226	6.708408198	7.587580464	7.937613625	8.0579954
0.227	6.719953647	7.594087198	7.940280827	8.058510479
0.228	6.731401609	7.600507203	7.942896525	8.059010606
0.229	6.742752907	7.606841636	7.945461714	8.059496216
0.23	6.754008357	7.613091635	7.94797737	8.059967729
0.231	6.765168768	7.619258328	7.950444448	8.060425555
0.232	6.776234944	7.625342825	7.952863888	8.060870091
0.233	6.787207679	7.63134622	7.955236608	8.061301723
0.234	6.798087762	7.637269595	7.957563511	8.061720826
0.235	6.808875977	7.643114017	7.959845482	8.062127764
0.236	6.819573098	7.648880538	7.962083388	8.062522888
0.237	6.830179895	7.654570196	7.964278081	8.062906543
0.238	6.84069713	7.660184016	7.966430394	8.063279062
0.239	6.85112556	7.665723008	7.968541146	8.063640767
0.24	6.861465935	7.671188171	7.97061114	8.063991972
0.241	6.871718998	7.676580488	7.972641162	8.064332983
0.242	6.881885487	7.68190093	7.974631985	8.064664094
0.243	6.891966131	7.687150455	7.976584365	8.064985595
